date,price
2015-01-01,24.91
2015-01-02,24.99
2015-01-03,24.06
2015-01-04,28.25
2015-01-05,38.45
2015-01-06,29.84
2015-01-07,31.79
2015-01-08,28.52
2015-01-09,28.45
2015-01-10,27.81
2015-01-11,26.56
2015-01-12,29.53
2015-01-13,33.07
2015-01-14,29.9
2015-01-15,29.14
2015-01-16,28.65
2015-01-17,28.54
2015-01-18,28.18
2015-01-19,32.83
2015-01-20,35.1
2015-01-21,40.14
2015-01-22,41.14
2015-01-23,39.64
2015-01-24,28.58
2015-01-25,28.79
2015-01-26,29.03
2015-01-27,29.11
2015-01-28,27.79
2015-01-29,27.48
2015-01-30,30.32
2015-01-31,28.04
2015-02-01,27.75
2015-02-02,34.77
2015-02-03,38.06
2015-02-04,43.11
2015-02-05,38.1
2015-02-06,32.55
2015-02-07,26.62
2015-02-08,26.81
2015-02-09,28.37
2015-02-10,28.47
2015-02-11,32.71
2015-02-12,36.83
2015-02-13,35.96
2015-02-14,27.4
2015-02-15,26.37
2015-02-16,27.62
2015-02-17,31.49
2015-02-18,27.33
2015-02-19,25.96
2015-02-20,25.67
2015-02-21,25.9
2015-02-22,25.6
2015-02-23,25.57
2015-02-24,25.91
2015-02-25,26.37
2015-02-26,26.3
2015-02-27,25.6
2015-02-28,25.29
2015-03-01,22.35
2015-03-02,25.18
2015-03-03,25.6
2015-03-04,26.39
2015-03-05,30.17
2015-03-06,27.87
2015-03-07,22.59
2015-03-08,21.28
2015-03-09,25.41
2015-03-10,24.4
2015-03-11,27.25
2015-03-12,33.4
2015-03-13,26.34
2015-03-14,24.26
2015-03-15,24.06
2015-03-16,24.44
2015-03-17,25.24
2015-03-18,27.45
2015-03-19,26.8
2015-03-20,29.32
2015-03-21,24.28
2015-03-22,24.38
2015-03-23,24.94
2015-03-24,29.46
2015-03-25,27.1
2015-03-26,25.78
2015-03-27,27.87
2015-03-28,25.0
2015-03-29,23.28
2015-03-30,25.22
2015-03-31,25.33
2015-04-01,25.42
2015-04-02,25.17
2015-04-03,24.73
2015-04-04,25.57
2015-04-05,25.23
2015-04-06,25.39
2015-04-07,25.81
2015-04-08,25.54
2015-04-09,25.79
2015-04-10,28.62
2015-04-11,24.7
2015-04-12,21.71
2015-04-13,23.83
2015-04-14,31.11
2015-04-15,25.65
2015-04-16,25.2
2015-04-17,25.69
2015-04-18,24.19
2015-04-19,23.5
2015-04-20,25.37
2015-04-21,24.64
2015-04-22,26.77
2015-04-23,21.71
2015-04-24,27.05
2015-04-25,23.07
2015-04-26,22.02
2015-04-27,30.02
2015-04-28,29.3
2015-04-29,26.41
2015-04-30,26.17
2015-05-01,24.62
2015-05-02,23.51
2015-05-03,23.44
2015-05-04,26.89
2015-05-05,25.81
2015-05-06,23.8
2015-05-07,21.99
2015-05-08,25.94
2015-05-09,19.01
2015-05-10,17.73
2015-05-11,25.32
2015-05-12,27.23
2015-05-13,19.82
2015-05-14,17.98
2015-05-15,21.93
2015-05-16,19.74
2015-05-17,11.93
2015-05-18,26.54
2015-05-19,24.74
2015-05-20,31.01
2015-05-21,31.41
2015-05-22,23.15
2015-05-23,18.23
2015-05-24,19.78
2015-05-25,22.0
2015-05-26,26.2
2015-05-27,23.98
2015-05-28,23.0
2015-05-29,20.79
2015-05-30,16.72
2015-05-31,13.51
2015-06-01,18.85
2015-06-02,16.76
2015-06-03,15.35
2015-06-04,19.4
2015-06-05,17.69
2015-06-06,10.05
2015-06-07,8.36
2015-06-08,18.64
2015-06-09,20.38
2015-06-10,16.78
2015-06-11,16.08
2015-06-12,14.41
2015-06-13,9.89
2015-06-14,8.01
2015-06-15,11.69
2015-06-16,21.72
2015-06-17,13.9
2015-06-18,11.08
2015-06-19,10.5
2015-06-20,9.31
2015-06-21,11.27
2015-06-22,23.07
2015-06-23,23.47
2015-06-24,12.05
2015-06-25,13.41
2015-06-26,20.74
2015-06-27,15.15
2015-06-28,15.27
2015-06-29,18.66
2015-06-30,16.61
2015-07-01,16.57
2015-07-02,11.47
2015-07-03,10.62
2015-07-04,9.57
2015-07-05,11.04
2015-07-06,10.28
2015-07-07,10.07
2015-07-08,8.08
2015-07-09,5.67
2015-07-10,5.42
2015-07-11,8.46
2015-07-12,8.47
2015-07-13,11.2
2015-07-14,11.53
2015-07-15,9.94
2015-07-16,10.97
2015-07-17,9.91
2015-07-18,6.43
2015-07-19,8.92
2015-07-20,9.68
2015-07-21,8.73
2015-07-22,9.87
2015-07-23,9.27
2015-07-24,9.45
2015-07-25,6.48
2015-07-26,3.51
2015-07-27,9.23
2015-07-28,9.24
2015-07-29,7.64
2015-07-30,7.16
2015-07-31,6.2
2015-08-01,6.3
2015-08-02,6.86
2015-08-03,13.04
2015-08-04,13.47
2015-08-05,15.28
2015-08-06,15.06
2015-08-07,8.42
2015-08-08,5.77
2015-08-09,6.98
2015-08-10,17.61
2015-08-11,9.0
2015-08-12,11.96
2015-08-13,35.16
2015-08-14,10.14
2015-08-15,10.54
2015-08-16,11.01
2015-08-17,11.43
2015-08-18,12.09
2015-08-19,30.57
2015-08-20,34.21
2015-08-21,24.76
